問題番号,カテゴリ,分野,問題文,選択肢1,選択肢2,選択肢3,選択肢4,正解,解説
34,人体の構成,皮膚,誤っているのはどれか,表皮は結合組織である,真皮は膠原線維が豊富である,皮下組織は脂肪を多く含む,毛は角質化した構造である,1,表皮は上皮組織であり結合組織ではない。
36,人体の構成,皮膚,皮膚の感覚受容について正しいのはどれか,自由神経終末は侵害受容に関与する,上肢の皮膚は全体の1/5を占める,パチニ小体は表皮乳頭に存在する,表皮には血管が存在する,1,自由神経終末は痛覚や温度覚を担う。パチニ小体は深部。
37,人体の構成,皮膚,皮膚について正しいのはどれか,表皮は単層円柱上皮である,真皮は中胚葉由来である,毛幹は内部が血管に富む,エクリン汗腺は足底に存在しない,2,真皮は中胚葉由来。表皮は重層扁平上皮であり毛幹は血管を持たない。
38,人体の構成,皮膚,皮膚付属器について正しいのはどれか,毛球は毛の先端に位置する,乳腺は皮膚腺の一種である,表皮は円柱上皮で構成される,メラノサイトは真皮に存在する,2,乳腺は変化した皮膚腺。毛球は毛根部。
39,呼吸器,鼻腔,下鼻道に開口するものはどれか,上顎洞,篩骨洞,鼻涙管,耳管,3,鼻涙管は涙を鼻腔へ流す管で下鼻道に開口する。
40,呼吸器,鼻腔,鼻腔について正しいのはどれか,嗅上皮は下鼻道にある,蝶形骨洞は下鼻道に開口する,鼻涙管は中鼻道に開口する,鼻涙管は下鼻道に開口する,4,鼻涙管は下鼻道に開口する。嗅上皮は上鼻道付近。
41,呼吸器,喉頭,対をなす喉頭軟骨はどれか,甲状軟骨,披裂軟骨,喉頭蓋軟骨,輪状軟骨,2,披裂軟骨は左右一対で存在し声帯運動に関与する。甲状軟骨・喉頭蓋軟骨・輪状軟骨は単一構造であるため誤り。この「唯一の対」は頻出ポイント。
42,呼吸器,喉頭,喉頭について正しいのはどれか,甲状軟骨は対になっている,喉頭隆起は輪状軟骨にある,披裂軟骨は対で存在する,声帯は輪状軟骨のみに付着する,3,披裂軟骨は左右一対であり正しい。喉頭隆起は甲状軟骨にあり、声帯は甲状軟骨と披裂軟骨に付着するため他は誤り。
43,呼吸器,声帯,声帯筋を支配する神経はどれか,三叉神経,迷走神経,舌咽神経,副神経,2,声帯筋は迷走神経の枝である反回神経に支配される。三叉神経は顔面感覚、舌咽神経は咽頭、副神経は僧帽筋などを支配する。
44,呼吸器,気管,気管について正しいのはどれか,食道の後方にある,前方で大動脈弓と接する,気管筋は骨格筋である,上皮は多列線毛上皮である,4,気管は多列線毛円柱上皮で覆われ、異物排出機構を持つ。食道の前方に位置し、気管筋は平滑筋である。
45,呼吸器,気管支,気管支について正しいのはどれか,左主気管支は垂直に近い,右主気管支は水平に走る,右主気管支は垂直に近い,左右の気管支は同じ角度で分岐する,3,右主気管支は短く太く垂直に近く、誤嚥した異物が入りやすい。左はやや水平で長い。
46,呼吸器,肺,肺について正しいのはどれか,右肺は2葉で左肺は3葉である,胸膜腔には滑液が存在する,臓側胸膜は壁側胸膜の外側にある,肺門は縦隔に面する,4,肺門は縦隔側に存在し気管支や血管が出入りする。胸膜腔には漿液が存在し、右肺3葉・左肺2葉である。
47,消化器,食道,食道について正しいのはどれか,長さは約15cmである,気管の前方を走行する,縦隔を通過する,第3頸椎から始まる,3,食道は咽頭から胃へ続き縦隔を通過する。長さは約25cmであり気管の後方を通る。
48,消化器,胃,胃について正しいのはどれか,小網は大弯に付着する,幽門には括約筋がある,主細胞は塩酸を分泌する,胃底は出口である,2,幽門には幽門括約筋があり胃内容物の排出を調節する。塩酸は壁細胞が分泌する。
49,消化器,小腸,小腸について正しいのはどれか,十二指腸は約12cmである,胆管は空腸に開口する,パイエル板は回腸にある,虫垂は小腸の一部である,3,パイエル板は回腸に存在するリンパ組織である。胆管は十二指腸に開口し、虫垂は大腸。
50,消化器,大腸,大腸について正しいのはどれか,小腸と長さは同じである,輪状ヒダが発達する,直腸には腸間膜がある,盲腸から虫垂が突出する,4,虫垂は盲腸から突出する構造。大腸は小腸より短く、輪状ヒダではなく半月ヒダを持つ。
51,消化器,小腸,パイエル板が存在する部位はどれか,胃,十二指腸,回腸,虫垂,3,パイエル板は回腸に存在する集合リンパ小節で腸管免疫に関与する。
52,消化器,小腸,小腸について正しいのはどれか,十二指腸は約12cmである,空腸に胆管が開口する,回腸下部にパイエル板が存在する,虫垂は小腸に属する,3,回腸にパイエル板が集中する。胆管は十二指腸に開口する。
53,消化器,小腸構造,正しい組合せはどれか,十二指腸―腸間膜をもつ,空腸―腸腺が存在する,回腸―腹膜垂が存在する,横行結腸―絨毛が存在する,2,腸腺（リーベルキューン腺）は小腸に存在する。腹膜垂は大腸、絨毛は小腸に存在する。
54,消化器,小腸,小腸に存在しない構造はどれか,腸絨毛,腹膜垂,孤立リンパ小節,輪状ヒダ,2,腹膜垂は大腸に特有の構造で脂肪を含む。
55,消化器,小腸,小腸について誤っているのはどれか,空腸は腸間膜をもつ,半月ヒダが存在する,腸腺が存在する,筋層は2層構造である,2,半月ヒダは大腸にみられる。小腸は輪状ヒダ。
56,消化器,小腸,小腸について正しいのはどれか,上皮は多列線毛上皮である,固有層にパイエル板が存在する,全長にわたり腸間膜をもたない,腹膜垂が存在する,2,パイエル板は回腸の固有層に存在するリンパ組織。上皮は単層円柱上皮。
58,消化器,大腸,虫垂について正しいのはどれか,リンパ小節が豊富である,腸絨毛が発達している,筋層が存在しない,腺が存在しない,1,虫垂はリンパ組織が豊富で免疫機能に関与する。
59,消化器,大腸,大腸について正しいのはどれか,小腸と長さはほぼ同じである,輪状ヒダが発達している,直腸には明瞭な腸間膜がある,盲腸から虫垂が突出する,4,盲腸から虫垂が突出する。輪状ヒダは小腸。
60,消化器,結腸,腹膜垂が存在するのはどれか,十二指腸,回腸,横行結腸,直腸,3,腹膜垂は結腸に存在する脂肪組織の突起。
61,消化器,結腸,結腸について正しいのはどれか,肝臓の下に接するのは下行結腸である,脾臓に接するのは上行結腸である,右結腸動脈は上腸間膜動脈の枝である,輪状ヒダを持つ,3,右結腸動脈は上腸間膜動脈から分岐し上行結腸を栄養する。肝彎曲は上行結腸、脾彎曲は横行結腸に位置する。輪状ヒダは小腸の構造である。
62,消化器,結腸,結腸に存在する構造はどれか,腸間膜,絨毛,腹膜垂,パイエル板,3,腹膜垂は脂肪を含む結腸特有の構造。絨毛やパイエル板は小腸に存在する。
63,消化器,肝臓,肝臓について正しいのはどれか,胆汁は胆嚢で作られる,グリソン鞘には三つの構造が含まれる,膵管は胆嚢に開口する,肝静脈は門脈に流入する,2,グリソン鞘には門脈・肝動脈・胆管が含まれる。胆汁は肝細胞で産生され、肝静脈は下大静脈に流入する。
64,消化器,肝臓,ディッセ腔に存在する細胞はどれか,クッパー細胞,星細胞（伊東細胞）,赤血球,胆管上皮細胞,2,ディッセ腔には星細胞が存在しビタミンAを貯蔵する。クッパー細胞は類洞内に存在する。
65,消化器,肝臓,肝臓について正しいのはどれか,肝小葉は肝動脈を中心に構成される,鎌状間膜は右葉と左葉を分ける,左葉は右葉より大きい,肝静脈は肝門を通過する,2,鎌状間膜は右葉と左葉を分ける。肝小葉は中心静脈を中心とし、右葉が大きい。
66,消化器,肝臓血管,肝臓について正しいのはどれか,肝臓は完全に腹膜で覆われる,左右の葉は同大である,肝臓の栄養血管は門脈である,肝静脈は下大静脈に流入する,4,肝静脈は下大静脈へ流入する。門脈は機能血流であり栄養血管は肝動脈。
67,消化器,肝臓血管,肝臓の血流について正しいのはどれか,門脈は動脈血を運ぶ,類洞の血液は中心静脈へ流れる,中心静脈は小葉間静脈へ流れる,肝静脈は肝門を通過する,2,肝臓では門脈・肝動脈→類洞→中心静脈→肝静脈の順で流れる。
68,消化器,肝臓,肝臓について正しいのはどれか,大腸には輪状ヒダが存在する,腹膜垂は小腸に存在する,門脈は肝門から肝臓に入る,角切痕は大弯に存在する,3,門脈は肝門から流入する。他の選択肢は消化管構造の誤り。
69,消化器,胆道,胆道系について誤っているのはどれか,肝管は肝門を通る,総肝管は総胆管を形成する,総胆管は胃の前方を通る,総胆管は十二指腸に開口する,3,総胆管は胃の後方を通るため誤り。他は正しい。
70,消化器,胆道,胆汁の流れについて正しいのはどれか,小葉間胆管→肝管→総胆管,肝管→胆嚢管→小葉間胆管,胆嚢管は一方向のみ流れる,総胆管は肝臓内にとどまる,1,胆汁は小葉間胆管→肝管→総胆管→十二指腸へ流れる。胆嚢管は双方向に流れる。
71,消化器,膵臓,膵臓について正しいのはどれか,腹膜内器官である,膵尾は十二指腸に接する,肝臓の下方に密接する,腹膜後器官である,4,膵臓は腹膜後器官であり、膵頭は十二指腸、膵尾は脾臓に接する。
73,消化器,膵臓,膵臓について誤っているのはどれか,膵管は十二指腸に開口する,膵臓は完全に腹膜で覆われる,外分泌機能として消化酵素を分泌する,内分泌機能としてホルモンを分泌する,2,膵臓は後腹膜に位置し完全に腹膜で覆われない。
75,消化器,膵臓,膵臓について正しいのはどれか,膵頭は脾臓に接する,膵臓全体は腹膜内器官である,膵管は十二指腸に開口する,ランゲルハンス島は外分泌である,3,膵管は十二指腸へ開口する。ランゲルハンス島は内分泌。
76,消化器,血管（動脈）,動脈と分布域で正しいのはどれか,腹腔動脈―胃,上腸間膜動脈―直腸,腎動脈―精巣,下腸間膜動脈―卵巣,1,腹腔動脈は前腸由来臓器（胃・肝・脾）を栄養する。
77,消化器,血管（動脈）,十二指腸を栄養する動脈はどれか,上腸間膜動脈,脾動脈,下腸間膜動脈,総腸骨動脈,1,十二指腸は腹腔動脈系と上腸間膜動脈系から血流供給を受ける。
78,消化器,血管（動脈）,腹腔動脈の枝でないのはどれか,下腸間膜動脈,脾動脈,固有肝動脈,左胃動脈,1,腹腔動脈の3大枝は左胃・総肝・脾動脈。
79,消化器,血管（動脈）,誤っているのはどれか,気管支動脈―肺,腹腔動脈―脾臓,上腸間膜動脈―空腸,下腸間膜動脈―上行結腸,4,上行結腸は上腸間膜動脈支配。
80,消化器,血管（動脈）,動脈について正しいのはどれか,腹腔動脈は脾臓を栄養する,腎動脈は第4腰椎で分岐する,下腸間膜動脈は回腸を栄養する,精巣動脈は浅部を走る,1,脾臓は脾動脈（腹腔動脈の枝）により栄養される。
81,消化器,血管（静脈）,門脈系に属する臓器はどれか,脾臓,腎臓,副腎,子宮,1,脾臓は脾静脈→門脈へ流入する。
82,消化器,血管（静脈）,門脈を構成する静脈はどれか,脾静脈,肝静脈,奇静脈,腎静脈,1,門脈は脾静脈と上腸間膜静脈の合流で形成される。
83,消化器,血管（静脈）,門脈形成に関与しないのはどれか,奇静脈,脾静脈,上腸間膜静脈,下腸間膜静脈,1,奇静脈は上大静脈系。
84,消化器,血管（静脈）,門脈と体循環の側副路に関与するのはどれか,膀胱静脈叢,前立腺静脈叢,子宮静脈叢,直腸静脈叢,4,直腸静脈叢は門脈系と体循環の吻合部。
85,消化器,血管（静脈）,静脈の流れで正しい組合せはどれか,奇静脈―腕頭静脈,精巣静脈―内腸骨静脈,内頚静脈―上大静脈,上腸間膜静脈―門脈,4,上腸間膜静脈は門脈を形成する。
86,消化器,血管（静脈）,下大静脈に直接流入しないのはどれか,肝静脈,腎静脈,脾静脈,腰静脈,3,脾静脈は門脈系。
87,呼吸器,鼻腔,鼻腔について正しいのはどれか,鼻腔は左右に分かれない,副鼻腔は交通しない,鼻涙管は下鼻道に開口する,口蓋は鼻腔の上壁である,3,鼻涙管は下鼻道に開口する。
89,呼吸器,副鼻腔,副鼻腔の開口部として正しいのはどれか,総鼻道,上鼻道,中鼻道,下鼻道,3,上顎洞や前頭洞は中鼻道に開口。
90,呼吸器,副鼻腔,誤っているのはどれか,上顎洞は中鼻道,前頭洞は上鼻道,鼻涙管は下鼻道,耳管は咽頭,2,前頭洞は中鼻道。
91,呼吸器,喉頭,対をなす喉頭軟骨はどれか,喉頭蓋,甲状,披裂,輪状,3,披裂軟骨。
92,呼吸器,声帯,声帯について誤っているのはどれか,声門を形成する,迷走神経支配,声帯裂を含む,輪状軟骨のみに付着する,4,声帯は甲状軟骨と披裂軟骨に付着する。
94,呼吸器,気管,気管について正しいのはどれか,第4頸椎から始まる,食道の後方,第2胸椎で分岐,輪状軟骨の下から始まる,4,気管は輪状軟骨の下（第6頸椎付近）から始まる。
95,呼吸器,気管支,気管支について正しいのはどれか,第1胸椎で分岐する,肺動脈が栄養血管である,左肺は3葉,右主気管支は垂直に近い,4,右主気管支は垂直に近い。
96,呼吸器,気管,気管の上皮はどれか,多列線毛円柱上皮,単層立方上皮,単層扁平上皮,移行上皮,1,異物排出機構あり。
97,呼吸器,肺,肺について正しいのはどれか,右肺2葉左3葉,胸膜腔は空気,臓側は外側,肺門は縦隔に面する,4,肺門は縦隔側。
98,呼吸器,肺,肺について誤っているのはどれか,右肺に水平裂あり,臓側胸膜が肺を覆う,胸膜腔に液体あり,胸膜腔は空気で満たされる,4,空気ではなく漿液。
99,呼吸器,肺,肺について誤っているのはどれか,左肺2葉,臓側胸膜あり,肺静脈は右心房に流入する,ガス交換が行われる,3,肺静脈は左心房へ。
100,呼吸器,縦隔,縦隔に存在しないのはどれか,食道,肺,心臓,胸大動脈,2,肺は胸膜腔に存在する。
